"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
5796696,-159,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-20","2003-03-20",3,1,1,,,,"7215:489","POLYGON((-159 28,-160 28,-160 29,-159 29,-159 28))"
5796694,-157,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-20","2004-03-22",3,1,1,,,,"7215:487","POLYGON((-157 28,-158 28,-158 29,-157 29,-157 28))"
5796692,-157,28,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-18","2004-03-18",2,1,1,,,,"7215:486","POLYGON((-156 28,-157 28,-157 29,-156 29,-156 28))"
5796667,-154,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-11","2004-02-15",3,1,1,,,,"7215:384","POLYGON((-154 28,-155 28,-155 29,-154 29,-154 28))"
5796691,-155,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-05","2004-02-05",1,1,1,,,,"7215:485","POLYGON((-155 28,-156 28,-156 29,-155 29,-155 28))"
5796697,-156,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-03","2004-02-03",1,1,1,,,,"7215:495","POLYGON((-155 29,-156 29,-156 30,-155 30,-155 29))"
5796687,-154,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-01","2003-02-01",2,1,1,,,,"7215:394","POLYGON((-154 29,-155 29,-155 30,-154 30,-154 29))"
5796686,-153,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-26","2004-04-13",8,2,1,,,,"7215:393","POLYGON((-153 29,-154 29,-154 30,-153 30,-153 29))"
5796682,-152,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-26","2004-05-03",6,2,1,,,,"7215:392","POLYGON((-152 29,-153 29,-153 30,-152 30,-152 29))"
5796660,-153,27,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-19","2004-02-19",2,1,1,,,,"7215:373","POLYGON((-153 27,-154 27,-154 28,-153 28,-153 27))"
5796654,-154,27,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-21","2004-02-21",1,1,1,,,,"7215:363","POLYGON((-153 26,-154 26,-154 27,-153 27,-153 26))"
5796659,-154,27,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-23","2004-03-02",6,1,1,,,,"7215:364","POLYGON((-154 26,-155 26,-155 27,-154 27,-154 26))"
5796688,-155,26,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-04","2004-03-04",2,1,1,,,,"7215:465","POLYGON((-155 26,-156 26,-156 27,-155 27,-155 26))"
5796661,-154,27,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-17","2004-02-17",1,1,1,,,,"7215:374","POLYGON((-154 27,-155 27,-155 28,-154 28,-154 27))"
5796689,-156,28,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-12","2004-03-12",1,1,1,,,,"7215:475","POLYGON((-155 27,-156 27,-156 28,-155 28,-155 27))"
5796690,-156,27,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-10","2004-03-10",2,1,1,,,,"7215:476","POLYGON((-156 27,-157 27,-157 28,-156 28,-156 27))"
5796716,-167,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-11","2004-03-11",2,1,1,,,,"7216:497","POLYGON((-167 29,-168 29,-168 30,-167 30,-167 29))"
5796715,-167,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-07","2004-03-09",3,1,1,,,,"7216:496","POLYGON((-166 29,-167 29,-167 30,-166 30,-166 29))"
5796710,-161,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-09","2003-04-14",11,1,1,,,,"7216:391","POLYGON((-161 29,-162 29,-162 30,-161 30,-161 29))"
5796713,-162,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-15","2003-04-17",6,1,1,,,,"7216:392","POLYGON((-162 29,-163 29,-163 30,-162 30,-162 29))"
5798103,-163,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-19","2004-04-14",70,6,1,,,,"7316:103","POLYGON((-163 30,-164 30,-164 31,-163 31,-163 30))"
5798091,-162,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-18","2004-04-04",22,3,1,,,,"7316:102","POLYGON((-162 30,-163 30,-163 31,-162 31,-162 30))"
5798074,-160,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-15","2004-02-09",17,3,1,,,,"7316:100","POLYGON((-160 30,-161 30,-161 31,-160 31,-160 30))"
5798082,-161,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-19","2004-03-19",26,3,1,,,,"7316:101","POLYGON((-161 30,-162 30,-162 31,-161 31,-161 30))"
5798128,-160,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-29","2005-05-04",31,4,1,,,,"7316:110","POLYGON((-160 31,-161 31,-161 32,-160 32,-160 31))"
5798137,-161,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-13","2005-04-12",22,4,1,,,,"7316:111","POLYGON((-161 31,-162 31,-162 32,-161 32,-161 31))"
5798152,-162,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-25","2004-05-11",36,6,1,,,,"7316:112","POLYGON((-162 31,-163 31,-163 32,-162 32,-162 31))"
5798157,-163,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-31","2004-05-13",14,3,1,,,,"7316:113","POLYGON((-163 31,-164 31,-164 32,-163 32,-163 31))"
5798168,-164,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-02","2004-05-17",30,4,1,,,,"7316:114","POLYGON((-164 31,-165 31,-165 32,-164 32,-164 31))"
5798279,-165,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-08","2004-05-21",28,6,1,,,,"7316:215","POLYGON((-165 31,-166 31,-166 32,-165 32,-165 31))"
5798112,-164,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-22","2004-04-18",28,6,1,,,,"7316:104","POLYGON((-164 30,-165 30,-165 31,-164 31,-164 30))"
5798261,-165,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-24","2004-03-03",12,3,1,,,,"7316:205","POLYGON((-165 30,-166 30,-166 31,-165 31,-165 30))"
5798264,-166,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-04","2004-04-22",6,2,1,,,,"7316:206","POLYGON((-166 30,-167 30,-167 31,-166 31,-166 30))"
5798267,-167,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-08","2004-03-15",3,2,1,,,,"7316:207","POLYGON((-167 30,-168 30,-168 31,-167 31,-167 30))"
5798290,-166,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-05-03","2004-04-24",18,3,1,,,,"7316:216","POLYGON((-166 31,-167 31,-167 32,-166 32,-166 31))"
5798299,-167,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-05-06","2004-05-10",19,4,1,,,,"7316:217","POLYGON((-167 31,-168 31,-168 32,-167 32,-167 31))"
5798306,-168,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-12","2004-05-26",9,3,1,,,,"7316:218","POLYGON((-168 31,-169 31,-169 32,-168 32,-168 31))"
5798309,-169,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-14","2004-05-28",9,2,1,,,,"7316:219","POLYGON((-169 31,-170 31,-170 32,-169 32,-169 31))"
5798598,-170,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-18","2004-03-20",6,1,1,,,,"7317:110","POLYGON((-170 31,-171 31,-171 32,-170 32,-170 31))"
5798600,-171,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-22","2004-03-26",3,1,1,,,,"7317:111","POLYGON((-171 31,-172 31,-172 32,-171 32,-171 31))"
5798725,-175,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-04-09","2004-04-09",2,1,1,,,,"7317:205","POLYGON((-175 30,-176 30,-176 31,-175 31,-175 30))"
5798596,-175,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-04-07","2004-04-07",1,1,1,,,,"7317:104","POLYGON((-174 30,-175 30,-175 31,-174 31,-174 30))"
5798602,-173,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-30","2004-04-01",2,1,1,,,,"7317:113","POLYGON((-173 31,-174 31,-174 32,-173 32,-173 31))"
5798604,-174,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-04-05","2004-04-07",2,1,1,,,,"7317:114","POLYGON((-174 31,-175 31,-175 32,-174 32,-174 31))"
